,2010-01,2010-04,2010-07,2010-10,2011-01,2011-04,2011-07,2011-10,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04
services,,,,,,,,,,,,,,0.523,0.934,0.934,9.73,11.958,11.958,20.011,20.011,20.454,21.822,21.822,21.822,21.822,25.927,29.544,34.152,34.489,34.489,35.009,35.009,36.362,36.573,36.573,36.573,36.573
tertiary;road,,,,,,,,,,,,,,39.282,39.282,39.282,39.282,39.282,39.282,39.282,39.282,39.282,39.282,39.282,39.282,39.282,39.282,39.282,39.282,39.282,39.282,39.282,39.282,39.282,39.282,39.282,39.282,39.282
rest_area,,,,,,,,,,,,,,,8.798,8.798,8.898,8.898,8.898,8.898,8.898,9.039,9.775,10.121,10.121,12.96,17.939,18.989,19.51,19.51,19.51,19.51,19.51,20.26,20.44,20.685,20.685,21.253
unclassified;track,,,,,,,,,,,,,,,,0.564,,,,,,,,,,,,,,,,,,,,,,
bus_station,,,,,,,,,,,,,,,,,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264
bus_stop,,,,,,,,,,,,,,,,,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.225,0.391,0.404
escape,,,,,,,,,,,,,,,,,0.244,0.244,0.244,0.244,0.244,1.216,1.699,2.299,2.299,2.299,2.299,2.299,2.299,2.299,2.299,2.299,2.607,2.607,2.607,2.607,2.607,2.607
private,,,,,,,,,,,,,,,,,0.133,0.133,0.133,0.133,0.133,,,,,,,,,,,,,,,,,
toll_booth,,,,,,,,,,,,,,,,,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184
via_ferrata,,,,,,,,,,,,,,,,,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007
alley,,,,,,,,,,,,,,,,,,0.389,0.389,0.389,0.389,0.389,0.389,,,,,,,,,,,,,,,
trunk;residential,,,,,,,,,,,,,,,,,,5.257,,,,,,,,,,,,,,,,,,,,
access-ramp,,,,,,,,,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,,,,
roof,,,,,,,,,,,,,,,,,,,,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105
sidewalk,,,,,,,,,,,,,,,,,,,,0.324,0.324,0.306,0.306,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058
access_ramp,,,,,,,,,,,,,,,,,,,,,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
trail,,,,,,,,,,,,,,,,,,,,,,14.408,14.432,0.743,0.743,,,,,,,,,,,,,
emergency_truck_stop,,,,,,,,,,,,,,,,,,,,,,,0.359,,,,,,,,,,,,,,,
historical,,,,,,,,,,,,,,,,,,,,,,,0.46,,,,,,,,,,,,,,0.071,0.071
dismantled,,,,,,,,,,,,,,,,,,,,,,,,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46
minor,,,,,,,,,,,,,,,,,,,,,,,,2.682,2.682,2.682,2.682,2.682,2.682,2.682,2.682,2.682,2.682,2.682,2.682,2.682,2.682,2.682
corridor,,,,,,,,,,,,,,,,,,,,,,,,,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.181,0.327,0.327,0.327,6.381
unset,,,,,,,,,,,,,,,,,,,,,,,,,26.13,,,,,,,,,,,,,
driveway,,,,,,,,,,,,,,,,,,,,,,,,,,1.027,1.027,1.027,1.027,1.027,1.027,,,,,,,
elevator,,,,,,,,,,,,,,,,,,,,,,,,,,,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074
unbuilt,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071
living_street;service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.269,,,
residential;service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.821,,,
service;living_street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041,,,
service;residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.102,,,
